PERMNO,DATE,RET
10449,20000103,-0.064516
10449,20000104,0.000000
10449,20000105,0.000000
10449,20000106,0.000000
10449,20000107,0.025862
10449,20000110,0.016807
10449,20000111,-0.074380
10449,20000112,0.000000
10449,20000113,0.035714
10449,20000114,0.017241
10449,20000118,-0.050847
10449,20000119,0.026786
10449,20000120,-0.026087
10449,20000121,0.000000
10449,20000124,0.017857
10449,20000125,0.000000
10449,20000126,0.000000
10449,20000127,0.000000
10449,20000128,0.028421
10449,20000131,-0.008621
10449,20000201,0.008696
10449,20000202,0.000000
10449,20000203,0.000000
10449,20000204,0.000000
10449,20000207,0.000000
10449,20000208,0.008621
10449,20000209,0.008547
10449,20000210,0.008475
10449,20000211,-0.025210
10449,20000214,0.000000
10449,20000215,0.017241
10449,20000216,0.025424
10449,20000217,0.041322
10449,20000218,-0.015873
10449,20000222,0.000000
10449,20000223,0.000000
10449,20000224,-0.008065
10449,20000225,-0.008130
10449,20000228,-0.016393
10449,20000229,0.000000
10449,20000301,0.000000
10449,20000302,0.000000
10449,20000303,0.000000
10449,20000306,0.008333
10449,20000307,-0.008264
10449,20000308,-0.016667
10449,20000309,0.000000
10449,20000310,0.016949
10449,20000313,-0.033333
10449,20000314,-0.017241
10449,20000315,0.017544
10449,20000316,0.017241
10449,20000317,0.000000
10449,20000320,-0.008475
10449,20000321,0.012821
10449,20000322,0.021097
10449,20000323,-0.008264
10449,20000324,-0.008333
10449,20000327,-0.008403
10449,20000328,-0.008475
10449,20000329,0.017094
10449,20000330,-0.016807
10449,20000331,0.000000
10449,20000403,0.025641
10449,20000404,-0.025000
10449,20000405,0.000000
10449,20000406,0.000000
10449,20000407,0.000000
10449,20000410,-0.008547
10449,20000411,0.025862
10449,20000412,-0.033613
10449,20000413,0.000000
10449,20000414,0.017391
10449,20000417,-0.004274
10449,20000418,-0.004292
10449,20000419,0.000000
10449,20000420,0.000000
10449,20000424,0.008621
10449,20000425,0.000000
10449,20000426,0.017094
10449,20000427,0.011429
10449,20000428,-0.016807
10449,20000501,0.012821
10449,20000502,-0.004219
10449,20000503,0.000000
10449,20000504,0.016949
10449,20000505,-0.012500
10449,20000508,0.000000
10449,20000509,0.000000
10449,20000510,0.000000
10449,20000511,0.012658
10449,20000512,-0.012500
10449,20000515,0.012658
10449,20000516,-0.008333
10449,20000517,0.008403
10449,20000518,-0.012500
10449,20000519,-0.012658
10449,20000522,0.000000
10449,20000523,0.008547
10449,20000524,-0.008475
10449,20000525,0.017094
10449,20000526,-0.012605
10449,20000530,-0.012766
10449,20000531,0.012931
10449,20000601,0.000000
10449,20000602,0.004255
10449,20000605,-0.016949
10449,20000606,0.000000
10449,20000607,0.000000
10449,20000608,0.012931
10449,20000609,-0.004255
10449,20000612,-0.008547
10449,20000613,0.008621
10449,20000614,-0.008547
10449,20000615,0.043103
10449,20000616,-0.016529
10449,20000619,-0.016807
10449,20000620,-0.008547
10449,20000621,0.017241
10449,20000622,-0.016949
10449,20000623,0.000000
10449,20000626,0.000000
10449,20000627,0.000000
10449,20000628,0.000000
10449,20000629,0.000000
10449,20000630,0.000000
10449,20000703,0.000000
10449,20000705,0.004310
10449,20000706,-0.004292
10449,20000707,-0.017241
10449,20000710,0.017544
10449,20000711,-0.008621
10449,20000712,0.008696
10449,20000713,0.000000
10449,20000714,0.000000
10449,20000717,-0.004310
10449,20000718,0.000000
10449,20000719,0.004329
10449,20000720,-0.008621
10449,20000721,-0.008696
10449,20000724,0.017544
10449,20000725,-0.017241
10449,20000726,0.017544
10449,20000727,0.000000
10449,20000728,0.028966
10449,20000731,-0.021186
10449,20000801,0.000000
10449,20000802,0.004329
10449,20000803,-0.004310
10449,20000804,0.004329
10449,20000807,0.017241
10449,20000808,-0.016949
10449,20000809,0.000000
10449,20000810,0.000000
10449,20000811,0.000000
10449,20000814,0.000000
10449,20000815,0.008621
10449,20000816,-0.025641
10449,20000817,0.000000
10449,20000818,0.000000
10449,20000821,0.000000
10449,20000822,0.004386
10449,20000823,-0.004367
10449,20000824,-0.008772
10449,20000825,0.008850
10449,20000828,-0.004386
10449,20000829,-0.004405
10449,20000830,-0.013274
10449,20000831,0.004484
10449,20000901,-0.013393
10449,20000905,0.013575
10449,20000906,0.008929
10449,20000907,0.008850
10449,20000908,-0.008772
10449,20000911,-0.013274
10449,20000912,0.008969
10449,20000913,0.004444
10449,20000914,-0.004425
10449,20000915,-0.008889
10449,20000918,0.004484
10449,20000919,0.008929
10449,20000920,-0.008850
10449,20000921,-0.008929
10449,20000922,-0.009009
10449,20000925,0.009091
10449,20000926,0.004505
10449,20000927,0.013453
10449,20000928,-0.004425
10449,20000929,-0.008889
10449,20001002,-0.004484
10449,20001003,0.009009
10449,20001004,-0.017857
10449,20001005,0.000000
10449,20001006,0.018182
10449,20001009,-0.026786
10449,20001010,0.000000
10449,20001011,0.000000
10449,20001012,-0.018349
10449,20001013,0.000000
10449,20001016,-0.004673
10449,20001017,0.014085
10449,20001018,0.000000
10449,20001019,-0.004630
10449,20001020,0.004651
10449,20001023,0.000000
10449,20001024,0.018519
10449,20001025,0.000000
10449,20001026,-0.027273
10449,20001027,0.009346
10449,20001030,-0.005185
10449,20001031,0.028302
10449,20001101,-0.018349
10449,20001102,-0.009346
10449,20001103,0.014151
10449,20001106,-0.004651
10449,20001107,0.000000
10449,20001108,0.000000
10449,20001109,0.000000
10449,20001110,-0.009346
10449,20001113,0.000000
10449,20001114,0.000000
10449,20001115,0.000000
10449,20001116,0.000000
10449,20001117,0.014151
10449,20001120,0.004651
10449,20001121,-0.009259
10449,20001122,0.000000
10449,20001124,0.009346
10449,20001127,-0.009259
10449,20001128,0.000000
10449,20001129,-0.009346
10449,20001130,-0.018868
10449,20001201,-0.009615
10449,20001204,0.038835
10449,20001205,0.000000
10449,20001206,-0.028037
10449,20001207,0.009615
10449,20001208,0.004762
10449,20001211,-0.004739
10449,20001212,0.019048
10449,20001213,-0.023364
10449,20001214,0.004785
10449,20001215,-0.009524
10449,20001218,0.038462
10449,20001219,-0.013889
10449,20001220,-0.004695
10449,20001221,0.000000
10449,20001222,0.000000
10449,20001226,-0.014151
10449,20001227,-0.009569
10449,20001228,0.004831
10449,20001229,0.019231
10449,20010102,0.037736
10449,20010103,0.022727
10449,20010104,-0.004444
10449,20010105,0.000000
10449,20010108,0.017857
10449,20010109,0.013158
10449,20010110,-0.004329
10449,20010111,0.017391
10449,20010112,0.008547
10449,20010116,-0.004237
10449,20010117,-0.012766
10449,20010118,-0.008621
10449,20010119,0.039130
10449,20010122,0.037657
10449,20010123,0.040323
10449,20010124,0.023256
10449,20010125,0.000000
10449,20010126,-0.007576
10449,20010129,0.019084
10449,20010130,0.007041
10449,20010131,-0.007519
10449,20010201,-0.007576
10449,20010202,0.001908
10449,20010205,-0.005714
10449,20010206,0.000000
10449,20010207,-0.019157
10449,20010208,0.011719
10449,20010209,-0.011583
10449,20010212,0.003906
10449,20010213,0.019455
10449,20010214,-0.007634
10449,20010215,0.015385
10449,20010216,0.007576
10449,20010220,0.007519
10449,20010221,-0.003731
10449,20010222,0.000000
10449,20010223,0.003745
10449,20010226,0.007463
10449,20010227,0.003704
10449,20010228,0.003690
10449,20010301,0.000000
10449,20010302,-0.018382
10449,20010305,0.011236
10449,20010306,-0.003704
10449,20010307,0.011152
10449,20010308,-0.011029
10449,20010309,0.007435
10449,20010312,0.003690
10449,20010313,-0.011029
10449,20010314,0.000000
10449,20010315,0.000000
10449,20010316,0.008364
10449,20010319,-0.011982
10449,20010320,-0.003731
10449,20010321,-0.018727
10449,20010322,0.000000
10449,20010323,0.000000
10449,20010326,0.019084
10449,20010327,-0.026217
10449,20010328,0.011538
10449,20010329,-0.007605
10449,20010330,0.000000
10449,20010402,0.019157
10449,20010403,-0.003759
10449,20010404,0.007547
10449,20010405,0.011236
10449,20010406,0.014815
10449,20010409,-0.003796
10449,20010410,0.019343
10449,20010411,0.020702
10449,20010412,-0.002817
10449,20010416,0.005650
10449,20010417,0.028090
10449,20010418,-0.030055
10449,20010419,0.008451
10449,20010420,0.016760
10449,20010423,0.005494
10449,20010424,-0.009836
10449,20010425,0.020971
10449,20010426,-0.005405
10449,20010427,0.007609
10449,20010430,0.008174
10449,20010501,-0.002703
10449,20010502,0.005420
10449,20010503,0.010782
10449,20010504,-0.013333
10449,20010507,0.000000
10449,20010508,-0.004324
10449,20010509,-0.003800
10449,20010510,0.029973
10449,20010511,0.005291
10449,20010514,0.005263
10449,20010515,-0.003141
10449,20010516,0.000525
10449,20010517,0.000000
10449,20010518,-0.013123
10449,20010521,0.001330
10449,20010522,0.009296
10449,20010523,0.000000
10449,20010524,-0.012105
10449,20010525,-0.006393
10449,20010529,0.002681
10449,20010530,0.002674
10449,20010531,0.000000
10449,20010601,0.010667
10449,20010604,-0.013193
10449,20010605,0.000000
10449,20010606,-0.001070
10449,20010607,-0.012313
10449,20010608,-0.003794
10449,20010611,0.002176
10449,20010612,-0.003800
10449,20010613,0.000000
10449,20010614,0.000000
10449,20010615,0.001635
10449,20010618,-0.009793
10449,20010619,0.004945
10449,20010620,-0.013122
10449,20010621,0.024931
10449,20010622,-0.021622
10449,20010625,0.000000
10449,20010626,0.000000
10449,20010627,0.003867
10449,20010628,0.006054
10449,20010629,-0.008753
10449,20010702,0.003863
10449,20010703,-0.002199
10449,20010705,0.008264
10449,20010706,0.005465
10449,20010709,0.008152
10449,20010710,-0.018868
10449,20010711,0.030220
10449,20010712,0.021333
10449,20010713,0.039164
10449,20010716,-0.005025
10449,20010717,-0.055051
10449,20010718,0.063602
10449,20010719,-0.002513
10449,20010720,0.005038
10449,20010723,-0.002506
10449,20010724,-0.055276
10449,20010725,0.000000
10449,20010726,0.007979
10449,20010727,0.014776
10449,20010730,0.016121
10449,20010731,-0.004651
10449,20010801,0.033229
10449,20010802,-0.010050
10449,20010803,0.014721
